review_id,product_id,user_id,rating,review_text,review_date,title,predicted_label
1,1046,U001,3,Not bad but there are better alternatives.,2026-04-25,,
2,732,U002,4,Excellent quality and beautiful packaging.,2026-01-02,,
3,656,U003,4,I would definitely buy this again.,2026-01-23,,
4,940,U004,2,Would not recommend this product.,2026-02-09,,
5,584,U005,3,The product is okay but nothing special.,2026-02-07,,
6,847,U006,1,Very disappointing and poor quality.,2026-04-29,,
7,237,U007,3,Average performance for the price.,2026-05-10,,
8,586,U008,2,Very disappointing and poor quality.,2026-03-17,,
9,791,U009,4,Long lasting and smells wonderful.,2026-04-24,,
10,552,U010,1,The scent was too strong for me.,2026-04-19,,
11,970,U011,3,Not bad but there are better alternatives.,2026-04-29,,
12,594,U012,1,Caused irritation after a few uses.,2026-03-05,,
13,334,U013,3,Average performance for the price.,2026-01-24,,
14,899,U014,3,Not bad but there are better alternatives.,2026-03-11,,
15,822,U015,1,Very disappointing and poor quality.,2026-02-11,,
16,675,U016,3,Not bad but there are better alternatives.,2026-04-19,,
17,433,U017,4,I would definitely buy this again.,2026-04-11,,
18,901,U018,2,Very disappointing and poor quality.,2026-03-22,,
19,331,U019,1,Stopped using after one week.,2026-03-26,,
20,1039,U020,5,Excellent quality and beautiful packaging.,2026-03-18,,
21,432,U021,1,Very disappointing and poor quality.,2026-03-22,,
22,223,U022,4,Long lasting and smells wonderful.,2026-01-19,,
23,1091,U023,1,Stopped using after one week.,2026-03-28,,
24,117,U024,2,Stopped using after one week.,2026-04-28,,
25,451,U025,2,Would not recommend this product.,2026-03-07,,
26,496,U026,3,Not bad but there are better alternatives.,2026-03-29,,
27,1045,U027,2,Would not recommend this product.,2026-02-24,,
28,742,U028,1,Stopped using after one week.,2026-03-28,,
29,387,U029,3,Not bad but there are better alternatives.,2026-02-17,,
30,483,U030,4,Amazing product and works perfectly for my skin.,2026-01-05,,
31,731,U031,1,Very disappointing and poor quality.,2026-04-10,,
32,921,U032,3,Not bad but there are better alternatives.,2026-01-22,,
33,1038,U033,3,Average performance for the price.,2026-02-14,,
34,141,U034,2,The scent was too strong for me.,2026-05-09,,
35,563,U035,5,Amazing product and works perfectly for my skin.,2026-04-16,,
36,809,U036,2,Would not recommend this product.,2026-03-22,,
37,882,U037,5,I would definitely buy this again.,2026-03-13,,
38,428,U038,1,Stopped using after one week.,2026-02-05,,
39,643,U039,1,Stopped using after one week.,2026-03-30,,
40,896,U040,3,Average performance for the price.,2026-02-01,,
41,653,U041,4,Excellent quality and beautiful packaging.,2026-02-07,,
42,372,U042,3,Works fine but expected better results.,2026-01-18,,
43,921,U043,4,Long lasting and smells wonderful.,2026-01-24,,
44,258,U044,2,Very disappointing and poor quality.,2026-03-20,,
45,907,U045,4,Amazing product and works perfectly for my skin.,2026-05-01,,
46,900,U046,1,Very disappointing and poor quality.,2026-04-12,,
47,729,U047,4,I would definitely buy this again.,2026-03-20,,
48,478,U048,3,Works fine but expected better results.,2026-04-09,,
49,760,U049,5,Excellent quality and beautiful packaging.,2026-02-21,,
50,169,U050,1,Would not recommend this product.,2026-01-06,,
51,734,U051,2,The scent was too strong for me.,2026-01-14,,
52,405,U052,3,Works fine but expected better results.,2026-03-23,,
53,696,U053,3,Not bad but there are better alternatives.,2026-01-05,,
54,623,U054,4,Long lasting and smells wonderful.,2026-02-22,,
55,612,U055,2,Would not recommend this product.,2026-02-28,,
56,351,U056,1,Very disappointing and poor quality.,2026-04-25,,
57,950,U057,1,Stopped using after one week.,2026-05-01,,
58,869,U058,4,Very lightweight and easy to apply.,2026-04-24,,
59,756,U059,5,Long lasting and smells wonderful.,2026-04-03,,
60,766,U060,5,Long lasting and smells wonderful.,2026-02-24,,
61,288,U061,3,Not bad but there are better alternatives.,2026-02-11,,
62,966,U062,2,Stopped using after one week.,2026-01-19,,
63,871,U063,4,Long lasting and smells wonderful.,2026-01-04,,
64,766,U064,1,Would not recommend this product.,2026-04-07,,
65,704,U065,3,Works fine but expected better results.,2026-04-11,,
66,602,U066,3,Works fine but expected better results.,2026-04-23,,
67,771,U067,4,Excellent quality and beautiful packaging.,2026-03-22,,
68,262,U068,2,Very disappointing and poor quality.,2026-05-01,,
69,864,U069,4,I would definitely buy this again.,2026-04-19,,
70,936,U070,3,Works fine but expected better results.,2026-02-18,,
71,154,U071,5,Excellent quality and beautiful packaging.,2026-01-29,,
72,562,U072,2,Would not recommend this product.,2026-03-21,,
73,822,U073,3,Works fine but expected better results.,2026-03-15,,
74,384,U074,2,Very disappointing and poor quality.,2026-04-11,,
75,245,U075,4,I would definitely buy this again.,2026-04-18,,
76,268,U076,5,Long lasting and smells wonderful.,2026-05-02,,
77,632,U077,3,The product is okay but nothing special.,2026-02-15,,
78,213,U078,4,Long lasting and smells wonderful.,2026-03-17,,
79,803,U079,3,The product is okay but nothing special.,2026-05-03,,
80,276,U080,5,Amazing product and works perfectly for my skin.,2026-04-21,,
81,936,U081,4,Very lightweight and easy to apply.,2026-01-02,,
82,334,U082,5,Very lightweight and easy to apply.,2026-02-15,,
83,567,U083,4,Very lightweight and easy to apply.,2026-04-27,,
84,374,U084,1,Stopped using after one week.,2026-04-06,,
85,106,U085,2,Caused irritation after a few uses.,2026-03-16,,
86,931,U086,5,Long lasting and smells wonderful.,2026-04-21,,
87,906,U087,5,Amazing product and works perfectly for my skin.,2026-01-27,,
88,306,U088,3,The product is okay but nothing special.,2026-01-11,,
