review_id,product_id,user_id,rating,title,review_text
1,101,U001,2.0,Not good,irritating bad not
2,102,U002,4.0,Combo,texture lasting not dry
3,103,U003,5.0,Real herbal,dry herbal sulphate fir min extra soft
4,103,U004,5.0,Best conditioner for fizz free hairs,herbal essence shampoo natural chemical free silky fizz free natural damage work treated recommend daily
5,103,U005,5.0,The Best Conditioner which is Good for your Hair and Good for the Planet as well,herbal essence aloe bamboo conditioner continuously week thought pro claim softer smoother amount coming person bottle fairly price colorants no sulfate paraben suit type add hydration making greasy heavy cruelty free vegan brand conditioner bottle recycled plastic con none glad awesome totally recommend
6,103,U006,5.0,Does what it says,effective leaves frizzy soften result shampoo conditioner
7,103,U007,5.0,Loving this Conditioner,day awesome smoothen hairs heavily moisturising effect conditioner feel lightweighted shiner part not harmful chemical recommended
8,103,U008,5.0,Loved this conditioner,absolutely range mild fragrance transparent gel texture frizz free add shine soft oil free highly recommended
9,103,U009,5.0,Amazing conditioner for soft and smooth hair,ordered bamboo enriched conditioner herbal essence day back happy result coloured dry conditioner leave feeling silky super paraben free formula heavenly smell
10,103,U010,5.0,Best sulphate free hair conditioner,suffering dry frizzy day change completely feel shiny thought
11,103,U011,5.0,Good Product,soft manageble mild fragrance part sulfate parabens free shampoo range buy
12,103,U012,5.0,Makes hair smooth,conditioner soft shinier healthy frizz free smell fresh conditioner
13,103,U013,5.0,Worth it,herbal essence aloe bamboo conditioner dry conditioner bought soft manageable part conditioner parabens sulphate free smell
14,103,U014,5.0,Left My Hair Soft & Straight In Just One Wash,texture wavy dry frizzy ultimate smoothness herbal category bingo herbal essence conditioner leave straight wash recieved result soothing fragrance not quantity require waist length detangle wash texture change shiny soft no sulphate paraben free part price not matter quantity result fit conditioner
15,103,U015,5.0,It’s magic,shampoo today today magic chemically treated rough shampoo conditioner feel soft shiny happy not face fall conditioner hoping experience glad choice
16,103,U016,5.0,Makes hair smooth,conditioner multiple number work frizz free smell
17,103,U017,5.0,Recommended,conditioner alot silky strong reducing hairfall recommended result
18,103,U018,5.0,The Fragrance is superb,herbal essence aloe bamboo conditioner part sulfate parabene free fragrance lovely happy result thnx nykaa sending properly packed bubble wrap
19,103,U019,5.0,Awesome ! Must buy,no matter conditioner deep conditioner making today day silicone-free formula conditioning ingredient moisturize strengthen strand manageable
20,103,U020,5.0,Great deal,deal packing no damage brand price
21,103,U021,5.0,An Amazing Conditioner!!,conditioner manageable making silky claim not parabens sulphates big thumb smell recommend repurchase
22,103,U022,5.0,Loving It 😍,conditioner week happy silky soft add extra layer shine shampoo range work fragrance mild pleasant free colorants sulphates parabens repurchase
23,103,U023,5.0,Love!! this saved my hair❤️❤️,conditioner protected frizzyness blood circulation root leave silky lustrous absolutely
24,103,U024,5.0,No sulphate no paraben,herbal essence cos sulphate free paraben free lasting care add cart manageable paraben coconut conditioner wanted bamboo range totally worth
25,103,U025,5.0,Excellent conditioner,infused bamboo aloe vera gel hydrate shiny frizz free longer
26,103,U026,5.0,Amazing conditioner by p &g,yhe goodness aloe vera bamboo absolutely conditioner mom leave silky shiny comb shampoo conditioner
27,103,U027,5.0,Herbal Essences Aloe & Bamboo Conditioner Soft Smooth Hair- No-,moisturising conditioner
28,103,U028,5.0,Great Product,conditioner dry frizz silky style smell nourishes happy
29,103,U029,4.0,Super smooth hair,smell feel extremely conditioner strawberry
30,103,U030,4.0,Spa-like Soft Hair at Home,expensive totally worth price lock follicle softer helps manage frizzy
31,103,U031,4.0,Conditioning at its best,conditioner hairwash feel providing nourishment extra smoothness texture application donot dry frizzy combination shampoo conditioner
32,103,U032,4.0,Nourishment guarantee,conditioner soo deep inside nourishes part sulphate fee goodness aloevera bamboo softer smoother strong adequate amount massage wet root tip rinse
